moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
io,2459624.429982279,A.D. 2022-02-13 22:19:10.47 TDB,2459624.524827218,A.D. 2022-02-14 00:35:45.07 TDB,136.5767,2459624.477404749,5.93351206,49.347515,0.0086,0.0086
io,2459626.199972549,A.D. 2022-02-15 16:47:57.63 TDB,2459626.294805739,A.D. 2022-02-15 19:04:31.22 TDB,136.5598,2459626.247389144,5.94047154,49.405395,0.0086,0.0086
io,2459627.969900032,A.D. 2022-02-17 11:16:39.36 TDB,2459628.064720450,A.D. 2022-02-17 13:33:11.85 TDB,136.5414,2459628.017310241,5.94679693,49.458002,0.0086,0.0086
io,2459629.739773439,A.D. 2022-02-19 05:45:16.43 TDB,2459629.834589473,A.D. 2022-02-19 08:01:48.53 TDB,136.5351,2459629.787181456,5.95248552,49.505313,0.0086,0.0086
io,2459631.509782933,A.D. 2022-02-21 00:14:05.25 TDB,2459631.604603540,A.D. 2022-02-21 02:30:37.75 TDB,136.5417,2459631.557193236,5.95753646,49.547320,0.0086,0.0086
io,2459633.279850188,A.D. 2022-02-22 18:42:59.06 TDB,2459633.374661096,A.D. 2022-02-22 20:59:30.72 TDB,136.5277,2459633.327255642,5.96194849,49.584014,0.0086,0.0086
io,2459635.049877513,A.D. 2022-02-24 13:11:49.42 TDB,2459635.144673408,A.D. 2022-02-24 15:28:19.78 TDB,136.5061,2459635.097275461,5.96571777,49.615362,0.0086,0.0086
io,2459636.819823624,A.D. 2022-02-26 07:40:32.76 TDB,2459636.914611026,A.D. 2022-02-26 09:57:02.39 TDB,136.4939,2459636.867217325,5.96883994,49.641328,0.0086,0.0086
io,2459638.589852256,A.D. 2022-02-28 02:09:23.23 TDB,2459638.684638938,A.D. 2022-02-28 04:25:52.80 TDB,136.4928,2459638.637245597,5.97131276,49.661894,0.0086,0.0086
io,2459640.359884749,A.D. 2022-03-01 20:38:14.04 TDB,2459640.454657808,A.D. 2022-03-01 22:54:42.43 TDB,136.4732,2459640.407271279,5.97313523,49.677051,0.0086,0.0086
io,2459642.129838906,A.D. 2022-03-03 15:06:58.08 TDB,2459642.224593401,A.D. 2022-03-03 17:23:24.87 TDB,136.4465,2459642.177216154,5.97430557,49.686784,0.0086,0.0086
io,2459643.899697741,A.D. 2022-03-05 09:35:33.88 TDB,2459643.994443292,A.D. 2022-03-05 11:51:59.90 TDB,136.4336,2459643.947070517,5.97482289,49.691087,0.0086,0.0086
io,2459645.669665749,A.D. 2022-03-07 04:04:19.12 TDB,2459645.764412689,A.D. 2022-03-07 06:20:45.26 TDB,136.4356,2459645.717039219,5.97468918,49.689975,0.0086,0.0086
io,2459647.439697095,A.D. 2022-03-08 22:33:09.83 TDB,2459647.534434604,A.D. 2022-03-09 00:49:35.15 TDB,136.4220,2459647.487065850,5.97390830,49.683480,0.0086,0.0086
