moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
ganymede,2457897.826250183,A.D. 2017-05-24 07:49:48.02 TDB,2457897.928684453,A.D. 2017-05-24 10:17:18.34 TDB,147.5053,2457897.877467318,4.75197883,39.521003,0.0086,0.0086
ganymede,2457904.992350177,A.D. 2017-05-31 11:48:59.06 TDB,2457905.094181853,A.D. 2017-05-31 14:15:37.31 TDB,146.6376,2457905.043266015,4.84072544,40.259086,0.0086,0.0086
ganymede,2457912.158385595,A.D. 2017-06-07 15:48:04.52 TDB,2457912.259616610,A.D. 2017-06-07 18:13:50.88 TDB,145.7727,2457912.209001102,4.93705150,41.060205,0.0086,0.0086
ganymede,2457919.324211985,A.D. 2017-06-14 19:46:51.92 TDB,2457919.424825063,A.D. 2017-06-14 22:11:44.89 TDB,144.8828,2457919.374518524,5.03932715,41.910806,0.0086,0.0086
ganymede,2457926.489823496,A.D. 2017-06-21 23:45:20.75 TDB,2457926.589867788,A.D. 2017-06-22 02:09:24.58 TDB,144.0638,2457926.539845642,5.14603826,42.798295,0.0086,0.0086
ganymede,2457933.655281713,A.D. 2017-06-29 03:43:36.34 TDB,2457933.754703633,A.D. 2017-06-29 06:06:46.39 TDB,143.1676,2457933.704992673,5.25563678,43.709798,0.0086,0.0086
ganymede,2457940.820793988,A.D. 2017-07-06 07:41:56.60 TDB,2457940.919653025,A.D. 2017-07-06 10:04:18.02 TDB,142.3570,2457940.870223506,5.36653078,44.632076,0.0086,0.0086
ganymede,2457947.986694044,A.D. 2017-07-13 11:40:50.37 TDB,2457948.084948342,A.D. 2017-07-13 14:02:19.54 TDB,141.4862,2457948.035821193,5.47734526,45.553691,0.0086,0.0086
ganymede,2457955.152780111,A.D. 2017-07-20 15:40:00.20 TDB,2457955.250466181,A.D. 2017-07-20 18:00:40.28 TDB,140.6679,2457955.201623146,5.58684304,46.464357,0.0086,0.0086
ganymede,2457962.318768512,A.D. 2017-07-27 19:39:01.60 TDB,2457962.415895359,A.D. 2017-07-27 21:58:53.36 TDB,139.8627,2457962.367331936,5.69376186,47.353573,0.0086,0.0086
ganymede,2457969.484518191,A.D. 2017-08-03 23:37:42.37 TDB,2457969.581070963,A.D. 2017-08-04 01:56:44.53 TDB,139.0360,2457969.532794577,5.79686556,48.211061,0.0086,0.0086
ganymede,2457976.650050168,A.D. 2017-08-11 03:36:04.33 TDB,2457976.746082577,A.D. 2017-08-11 05:54:21.53 TDB,138.2867,2457976.698066372,5.89514417,49.028419,0.0086,0.0086
ganymede,2457983.815449961,A.D. 2017-08-18 07:34:14.88 TDB,2457983.910905300,A.D. 2017-08-18 09:51:42.22 TDB,137.4557,2457983.863177630,5.98771840,49.798335,0.0086,0.0086
